,location,total_sqft,bath,price,bhk
63,5th Phase JP Nagar,1240,3.0,60.0,3
64,5th Phase JP Nagar,1550,3.0,75.0,3
65,5th Phase JP Nagar,1485,2.0,66.0,3
66,5th Phase JP Nagar,1030,2.0,57.0,2
67,5th Phase JP Nagar,1200,2.0,68.0,2
68,5th Phase JP Nagar,1190,2.0,61.8,2
69,5th Phase JP Nagar,4000,5.0,170.0,5
70,5th Phase JP Nagar,1080,2.0,53.0,2
71,5th Phase JP Nagar,1041,2.0,54.0,2
72,5th Phase JP Nagar,812,2.0,42.0,2
73,5th Phase JP Nagar,1010,2.0,57.0,2
74,5th Phase JP Nagar,1450,2.0,73.0,3
75,5th Phase JP Nagar,1075,2.0,60.0,2
76,6th Phase JP Nagar,1192,2.0,74.0,2
77,6th Phase JP Nagar,1180,2.0,80.0,2
78,6th Phase JP Nagar,3245,4.0,250.0,4
79,6th Phase JP Nagar,1645,3.0,100.0,3
80,6th Phase JP Nagar,1140,2.0,65.0,2
81,6th Phase JP Nagar,2040,3.0,200.0,3
82,6th Phase JP Nagar,1213,2.0,63.0,2
83,6th Phase JP Nagar,1216,2.0,60.0,2
84,6th Phase JP Nagar,1460,2.0,80.0,2
85,6th Phase JP Nagar,2003,3.0,200.0,3
86,6th Phase JP Nagar,1810,3.0,131.0,3
87,6th Phase JP Nagar,1515,2.0,135.0,3
88,6th Phase JP Nagar,1192,2.0,75.0,2
89,6th Phase JP Nagar,1280,2.0,88.0,2
90,7th Phase JP Nagar,1080,2.0,72.0,2
91,7th Phase JP Nagar,1270,2.0,93.0,2
92,7th Phase JP Nagar,1420,2.0,100.0,3
93,7th Phase JP Nagar,1850,3.0,150.0,3
94,7th Phase JP Nagar,1245,2.0,94.0,2
95,7th Phase JP Nagar,1175,2.0,82.0,2
96,7th Phase JP Nagar,1400,2.0,95.0,3
97,7th Phase JP Nagar,2225,3.0,160.0,3
98,7th Phase JP Nagar,1050,2.0,71.0,2
99,7th Phase JP Nagar,1100,2.0,46.0,2
100,7th Phase JP Nagar,918,2.0,50.49,2
101,7th Phase JP Nagar,1450,2.0,100.0,3
102,7th Phase JP Nagar,1190,2.0,49.98,2
103,7th Phase JP Nagar,1420,2.0,96.0,3
104,7th Phase JP Nagar,1680,3.0,120.0,3
105,7th Phase JP Nagar,980,2.0,69.0,2
106,7th Phase JP Nagar,1180,2.0,72.0,2
107,7th Phase JP Nagar,1050,2.0,57.0,3
108,7th Phase JP Nagar,1343,2.0,56.41,3
109,7th Phase JP Nagar,1405,2.0,59.01,3
110,7th Phase JP Nagar,1400,3.0,115.0,3
111,7th Phase JP Nagar,1270,2.0,83.0,2
112,7th Phase JP Nagar,3300,4.0,150.0,4
113,7th Phase JP Nagar,2503,4.0,188.0,4
114,7th Phase JP Nagar,2200,3.0,190.0,3
115,7th Phase JP Nagar,1250,3.0,65.0,3
116,7th Phase JP Nagar,1385,2.0,58.17,3
117,7th Phase JP Nagar,1575,2.0,110.0,3
118,7th Phase JP Nagar,1850,3.0,140.0,3
119,7th Phase JP Nagar,1575,2.0,120.0,3
120,7th Phase JP Nagar,1850,3.0,150.0,3
121,7th Phase JP Nagar,1680,3.0,120.0,3
122,7th Phase JP Nagar,1175,2.0,82.5,2
123,7th Phase JP Nagar,3300,4.0,160.0,3
124,7th Phase JP Nagar,2200,4.0,105.0,3
125,7th Phase JP Nagar,1215,2.0,90.0,2
126,7th Phase JP Nagar,1050,2.0,75.0,2
127,7th Phase JP Nagar,1300,3.0,89.13,3
128,7th Phase JP Nagar,1130,2.0,73.0,2
129,7th Phase JP Nagar,1450,3.0,100.0,3
130,7th Phase JP Nagar,1350,3.0,58.0,3
131,7th Phase JP Nagar,1050,2.0,50.0,2
132,7th Phase JP Nagar,1275,2.0,87.0,2
133,7th Phase JP Nagar,1460,3.0,70.0,3
134,7th Phase JP Nagar,1650,3.0,110.0,3
135,7th Phase JP Nagar,850,2.0,42.0,2
136,7th Phase JP Nagar,1680,3.0,117.0,3
137,7th Phase JP Nagar,1850,3.0,150.0,3
138,7th Phase JP Nagar,1236,2.0,61.33,2
139,7th Phase JP Nagar,1000,2.0,53.0,2
140,7th Phase JP Nagar,1680,3.0,125.0,3
141,7th Phase JP Nagar,1675,2.0,135.0,3
142,7th Phase JP Nagar,1187,2.0,59.0,2
143,7th Phase JP Nagar,1850,3.0,155.0,3
144,7th Phase JP Nagar,1000,2.0,61.0,2
145,7th Phase JP Nagar,1460,2.0,100.0,3
146,7th Phase JP Nagar,1650,3.0,110.0,3
147,7th Phase JP Nagar,1200,2.0,62.5,2
148,7th Phase JP Nagar,1000,2.0,70.65,2
149,7th Phase JP Nagar,1080,2.0,75.0,2
150,7th Phase JP Nagar,1415,3.0,65.0,3
151,7th Phase JP Nagar,1680,3.0,125.0,3
152,7th Phase JP Nagar,1460,2.0,97.0,3
153,7th Phase JP Nagar,1120,2.0,65.0,2
154,7th Phase JP Nagar,1100,3.0,60.0,2
155,7th Phase JP Nagar,1790,3.0,120.0,3
156,7th Phase JP Nagar,1680,3.0,117.0,3
157,7th Phase JP Nagar,1050,2.0,77.0,2
158,7th Phase JP Nagar,1050,2.0,75.0,2
159,7th Phase JP Nagar,1040,2.0,75.0,2
160,7th Phase JP Nagar,1400,2.0,95.0,3
161,7th Phase JP Nagar,1800,3.0,130.0,3
162,7th Phase JP Nagar,1050,2.0,68.0,2
163,7th Phase JP Nagar,1000,2.0,60.0,2
164,7th Phase JP Nagar,1680,3.0,125.0,3
165,7th Phase JP Nagar,1050,2.0,77.47,2
166,7th Phase JP Nagar,1270,2.0,80.0,2
167,7th Phase JP Nagar,1463,2.0,61.45,3
168,7th Phase JP Nagar,1680,3.0,122.0,3
169,7th Phase JP Nagar,1130,2.0,85.0,2
170,7th Phase JP Nagar,1680,3.0,130.0,3
171,7th Phase JP Nagar,980,2.0,77.44,2
172,7th Phase JP Nagar,1680,3.0,112.0,3
173,7th Phase JP Nagar,1515,2.0,76.0,3
174,7th Phase JP Nagar,2095,3.0,150.0,3
175,7th Phase JP Nagar,1976,3.0,145.0,3
176,7th Phase JP Nagar,1600,2.0,110.0,3
177,7th Phase JP Nagar,1765,3.0,118.0,3
178,7th Phase JP Nagar,1275,2.0,88.0,3
179,7th Phase JP Nagar,1450,2.0,102.0,3
180,7th Phase JP Nagar,1575,2.0,110.0,3
181,7th Phase JP Nagar,1075,2.0,57.0,3
182,7th Phase JP Nagar,750,1.0,47.0,1
183,7th Phase JP Nagar,990,2.0,50.0,2
184,7th Phase JP Nagar,1000,1.0,60.0,1
185,7th Phase JP Nagar,1680,2.0,92.0,3
186,7th Phase JP Nagar,1430,2.0,102.0,3
187,7th Phase JP Nagar,1128,2.0,60.0,2
188,7th Phase JP Nagar,1140,2.0,57.0,2
189,7th Phase JP Nagar,1420,3.0,90.0,3
190,7th Phase JP Nagar,1530,2.0,108.0,2
191,8th Phase JP Nagar,451,1.0,29.9,1
192,8th Phase JP Nagar,1240,3.0,43.5,3
193,8th Phase JP Nagar,1062,2.0,42.47,2
194,8th Phase JP Nagar,1230,2.0,43.5,3
195,8th Phase JP Nagar,1455,3.0,73.31,3
196,8th Phase JP Nagar,871,2.0,55.0,2
197,8th Phase JP Nagar,1098,2.0,43.91,2
198,8th Phase JP Nagar,1800,3.0,80.0,3
199,8th Phase JP Nagar,2700,4.0,130.0,4
200,8th Phase JP Nagar,1080,2.0,38.0,2
201,8th Phase JP Nagar,1059,2.0,34.5,2
202,8th Phase JP Nagar,1080,2.0,35.0,2
203,8th Phase JP Nagar,1275,2.0,41.5,3
204,8th Phase JP Nagar,1062,2.0,42.47,2
205,8th Phase JP Nagar,500,1.0,31.0,1
206,8th Phase JP Nagar,1100,2.0,35.0,2
207,8th Phase JP Nagar,2100,4.0,92.0,4
208,8th Phase JP Nagar,1035,2.0,39.33,2
209,8th Phase JP Nagar,909,2.0,40.9,2
210,8th Phase JP Nagar,1900,4.0,90.0,3
211,8th Phase JP Nagar,500,1.0,30.0,1
212,8th Phase JP Nagar,1125,2.0,36.94,2
213,8th Phase JP Nagar,1100,2.0,35.0,2
214,8th Phase JP Nagar,1089,2.0,43.55,2
215,8th Phase JP Nagar,1605,2.0,65.0,3
216,8th Phase JP Nagar,1504,2.0,83.0,3
217,8th Phase JP Nagar,2600,4.0,115.0,4
218,8th Phase JP Nagar,1368,2.0,54.71,3
219,8th Phase JP Nagar,1089,2.0,43.55,2
220,8th Phase JP Nagar,1224,2.0,48.95,3
221,8th Phase JP Nagar,1513,2.0,62.0,2
222,8th Phase JP Nagar,1298,2.0,59.0,2
223,8th Phase JP Nagar,1006,2.0,44.0,2
224,8th Phase JP Nagar,500,1.0,33.0,1
225,8th Phase JP Nagar,1160,2.0,95.0,2
226,8th Phase JP Nagar,1245,2.0,59.0,2
227,8th Phase JP Nagar,1510,2.0,80.0,2
228,8th Phase JP Nagar,3300,3.0,165.0,3
229,8th Phase JP Nagar,1730,5.0,75.0,5
230,8th Phase JP Nagar,1296,2.0,51.83,3
231,8th Phase JP Nagar,1275,3.0,45.0,3
232,8th Phase JP Nagar,1046,2.0,48.0,2
233,8th Phase JP Nagar,1269,2.0,50.75,3
234,8th Phase JP Nagar,1408,3.0,80.0,3
235,8th Phase JP Nagar,1500,2.0,55.0,3
236,9th Phase JP Nagar,1005,2.0,50.0,2
237,9th Phase JP Nagar,1890,2.0,85.0,3
238,9th Phase JP Nagar,1100,2.0,65.0,2
239,9th Phase JP Nagar,1080,2.0,37.0,2
240,9th Phase JP Nagar,1035,2.0,45.0,2
241,9th Phase JP Nagar,5000,4.0,290.0,4
242,9th Phase JP Nagar,1164,2.0,56.0,2
243,9th Phase JP Nagar,1005,2.0,42.0,2
244,9th Phase JP Nagar,1127,2.0,50.0,2
245,9th Phase JP Nagar,1005,2.0,43.0,2
246,9th Phase JP Nagar,835,2.0,37.0,2
247,9th Phase JP Nagar,1050,2.0,39.0,2
248,9th Phase JP Nagar,660,2.0,27.0,2
249,9th Phase JP Nagar,600,1.0,20.0,1
250,9th Phase JP Nagar,1466,2.0,71.0,2
251,9th Phase JP Nagar,1890,2.0,93.0,3
252,9th Phase JP Nagar,1079,2.0,60.0,2
253,9th Phase JP Nagar,1480,2.0,80.0,2
254,9th Phase JP Nagar,1200,2.0,80.0,2
255,9th Phase JP Nagar,905,2.0,32.0,2
256,9th Phase JP Nagar,1073,2.0,52.36,2
257,9th Phase JP Nagar,1780,3.0,88.0,3
258,9th Phase JP Nagar,1300,2.0,58.0,3
259,9th Phase JP Nagar,1522,3.0,90.0,3
260,9th Phase JP Nagar,1571,3.0,65.0,3
261,9th Phase JP Nagar,1900,4.0,80.0,4
262,9th Phase JP Nagar,890,2.0,45.0,2
263,9th Phase JP Nagar,1240,2.0,39.89,3
264,9th Phase JP Nagar,5000,4.0,300.0,4
265,9th Phase JP Nagar,1240,2.0,42.85,3
266,9th Phase JP Nagar,1050,2.0,35.0,2
267,AECS Layout,1100,2.0,45.0,2
268,AECS Layout,1028,2.0,42.0,2
269,AECS Layout,1199,2.0,65.0,2
270,AECS Layout,1080,2.0,55.0,2
271,AECS Layout,1123,2.0,64.0,2
272,AECS Layout,1308,2.0,60.0,2
273,AECS Layout,1005,2.0,55.0,2
274,AECS Layout,2000,3.0,90.0,3
275,Abbigere,985,2.0,40.39,2
276,Abbigere,2200,6.0,68.0,6
277,Abbigere,765,2.0,30.0,1
278,Abbigere,880,2.0,35.0,2
279,Abbigere,795,2.0,32.54,2
280,Abbigere,1005,2.0,39.59,2
281,Abbigere,734,1.0,19.82,1
282,Abbigere,1260,2.0,45.0,3
283,Abbigere,1020,2.0,41.82,2
284,Abbigere,985,2.0,40.39,2
285,Abbigere,2500,6.0,81.0,6
286,Abbigere,795,2.0,32.54,2
287,Abbigere,1130,2.0,46.33,2
288,Abbigere,795,1.0,32.6,2
289,Abbigere,3000,8.0,150.0,8
290,Abbigere,985,2.0,38.92,2
291,Abbigere,1000,2.0,41.0,2
292,Abbigere,995,2.0,40.8,2
293,Abbigere,1020,2.0,40.8,2
294,Akshaya Nagar,1388,2.0,57.0,2
295,Akshaya Nagar,1070,2.0,54.0,2
296,Akshaya Nagar,1280,2.0,58.0,2
297,Akshaya Nagar,1662,3.0,85.1,3
298,Akshaya Nagar,1897,3.0,120.0,3
299,Akshaya Nagar,1410,2.0,75.0,3
300,Akshaya Nagar,1360,2.0,85.0,3
301,Akshaya Nagar,1600,2.0,65.0,3
302,Akshaya Nagar,1410,2.0,80.0,3
303,Akshaya Nagar,1662,3.0,85.0,3
304,Akshaya Nagar,1662,3.0,85.5,3
305,Akshaya Nagar,1280,2.0,60.0,2
306,Akshaya Nagar,1666,3.0,95.0,3
307,Akshaya Nagar,1575,3.0,90.0,3
308,Akshaya Nagar,1430,2.0,75.0,3
309,Akshaya Nagar,1419,2.0,73.0,3
310,Akshaya Nagar,1280,2.0,60.0,2
311,Akshaya Nagar,1200,2.0,50.0,2
312,Akshaya Nagar,1092,2.0,60.0,2
313,Akshaya Nagar,1690,3.0,85.0,3
314,Akshaya Nagar,1700,3.0,80.0,3
315,Akshaya Nagar,1897,4.0,93.0,3
316,Akshaya Nagar,1884,3.0,98.0,3
317,Akshaya Nagar,1314,2.0,68.8,2
318,Akshaya Nagar,1690,3.0,85.0,3
319,Akshaya Nagar,1265,2.0,67.0,2
320,Akshaya Nagar,1126,2.0,55.0,2
321,Akshaya Nagar,2300,4.0,102.0,3
322,Akshaya Nagar,1662,3.0,90.0,3
323,Akshaya Nagar,1420,2.0,75.0,3
324,Akshaya Nagar,1412,2.0,88.0,3
325,Akshaya Nagar,1434,3.0,84.0,3
326,Akshaya Nagar,1890,4.0,100.0,3
327,Akshaya Nagar,2650,3.0,125.0,3
328,Akshaya Nagar,1419,2.0,87.0,3
329,Akshaya Nagar,1300,2.0,54.0,2
330,Akshaya Nagar,1690,3.0,85.0,3
331,Akshaya Nagar,1113,2.0,52.0,2
332,Akshaya Nagar,1820,4.0,95.0,3
333,Akshaya Nagar,1100,2.0,48.0,2
334,Akshaya Nagar,1896,3.0,102.0,3
335,Akshaya Nagar,1300,2.0,66.0,2
336,Akshaya Nagar,1225,2.0,68.0,2
337,Akshaya Nagar,1179,2.0,51.0,2
338,Akshaya Nagar,1421,2.0,73.0,3
339,Akshaya Nagar,1893,4.0,95.0,3
340,Akshaya Nagar,900,2.0,45.0,2
341,Ambalipura,1105,2.0,75.0,2
342,Ambalipura,1800,3.0,110.0,3
343,Ambalipura,1150,2.0,80.0,2
344,Ambalipura,1250,2.0,66.25,2
345,Ambalipura,1332,2.0,79.0,2
346,Ambalipura,1730,3.0,120.0,3
347,Ambalipura,3500,3.0,198.0,3
348,Ambalipura,1230,2.0,66.25,2
349,Ambalipura,1351,2.0,77.0,2
350,Ambalipura,2550,4.0,149.0,4
351,Ambalipura,1817,3.0,102.0,3
352,Ambalipura,2750,4.0,142.0,4
353,Ambalipura,1303,2.0,80.0,2
354,Ambalipura,1607,2.0,112.0,3
355,Ambalipura,770,1.0,43.82,1
356,Ambalipura,1700,2.0,76.0,2
357,Ambalipura,1060,2.0,58.5,2
358,Ambalipura,1650,3.0,100.0,3
359,Ambalipura,1607,2.0,112.0,3
360,Ambalipura,1198,2.0,80.0,2
361,Ambedkar Nagar,1935,4.0,130.0,3
362,Ambedkar Nagar,1424,2.0,90.0,2
363,Ambedkar Nagar,2225,4.0,169.0,3
364,Ambedkar Nagar,1862,3.0,120.0,3
365,Ambedkar Nagar,1850,4.0,139.0,3
366,Ambedkar Nagar,1936,4.0,126.0,3
367,Ambedkar Nagar,1862,3.0,119.0,3
368,Ambedkar Nagar,1424,2.0,90.0,2
369,Ambedkar Nagar,2150,4.0,125.0,3
370,Ambedkar Nagar,3530,4.0,290.0,4
371,Ambedkar Nagar,1856,3.0,120.0,3
372,Ambedkar Nagar,1852,3.0,130.0,3
373,Ambedkar Nagar,1850,4.0,120.0,3
374,Ambedkar Nagar,1367,2.0,86.0,2
375,Ambedkar Nagar,3565,4.0,255.0,4
376,Ambedkar Nagar,1409,2.0,95.0,2
377,Ambedkar Nagar,1950,4.0,120.0,3
378,Ambedkar Nagar,1921,4.0,129.0,3
379,Ambedkar Nagar,1920,4.0,121.0,3
380,Ambedkar Nagar,1935,4.0,125.0,3
381,Ambedkar Nagar,1852,4.0,122.0,3
382,Ambedkar Nagar,1950,4.0,120.0,3
383,Ambedkar Nagar,1852,3.0,125.0,3
384,Ambedkar Nagar,1850,4.0,121.0,3
385,Ambedkar Nagar,1425,2.0,94.0,2
386,Ambedkar Nagar,2395,4.0,150.0,3
387,Amruthahalli,900,2.0,40.0,2
388,Amruthahalli,1200,2.0,55.0,2
389,Amruthahalli,1900,3.0,135.0,3
390,Amruthahalli,924,2.0,45.0,2
391,Amruthahalli,900,2.0,60.0,2
392,Amruthahalli,1100,2.0,45.0,2
393,Amruthahalli,1200,2.0,55.0,2
394,Amruthahalli,1350,2.0,63.0,3
395,Amruthahalli,1605,3.0,65.0,3
396,Amruthahalli,1700,3.0,77.0,3
397,Amruthahalli,1450,2.0,85.0,3
398,Amruthahalli,1200,2.0,55.0,2
399,Amruthahalli,1250,2.0,79.0,2
400,Amruthahalli,1190,2.0,50.0,2
401,Amruthahalli,1202,2.0,65.0,2
402,Amruthahalli,1340,2.0,75.0,2
403,Amruthahalli,2650,4.0,175.0,3
404,Amruthahalli,1450,2.0,90.0,3
405,Amruthahalli,1025,2.0,42.0,2
406,Amruthahalli,485,1.0,19.5,1
407,Anandapura,1167,2.0,43.76,2
408,Anandapura,1000,2.0,55.0,2
409,Anandapura,1141,2.0,42.79,2
410,Anandapura,1576,3.0,59.1,3
411,Anandapura,1200,2.0,67.0,2
412,Anandapura,1200,2.0,58.0,2
413,Anandapura,1151,2.0,43.1,2
414,Anandapura,1141,2.0,42.75,2
415,Anandapura,900,2.0,48.0,2
416,Anandapura,1749,4.0,90.0,4
417,Anandapura,1151,2.0,42.9,2
418,Anandapura,1576,3.0,58.0,3
419,Anandapura,1250,2.0,45.0,2
420,Anandapura,1151,2.0,43.16,2
421,Anandapura,1200,2.0,58.0,2
422,Anandapura,1200,2.0,66.0,3
423,Anandapura,1415,2.0,74.0,3
424,Anandapura,1200,2.0,50.0,2
425,Anandapura,1141,2.0,50.0,2
426,Anandapura,1576,3.0,58.7,3
427,Ananth Nagar,500,1.0,14.0,1
428,Ananth Nagar,1100,2.0,31.5,2
429,Ananth Nagar,982,2.0,24.55,2
430,Ananth Nagar,500,2.0,14.0,1
431,Ananth Nagar,900,2.0,22.5,2
432,Ananth Nagar,908,2.0,26.0,2
433,Ananth Nagar,870,2.0,36.0,2
434,Ananth Nagar,937,2.0,35.0,2
435,Ananth Nagar,960,2.0,37.0,2
436,Ananth Nagar,500,1.0,14.0,1
437,Ananth Nagar,1000,2.0,29.7,2
438,Ananth Nagar,850,2.0,25.99,2
439,Ananth Nagar,902,2.0,25.26,2
440,Ananth Nagar,1470,3.0,54.0,3
441,Ananth Nagar,810,2.0,25.5,2
442,Ananth Nagar,890,2.0,27.0,2
443,Ananth Nagar,1200,2.0,36.0,2
444,Ananth Nagar,1319,3.0,37.75,3
445,Ananth Nagar,1319,3.0,42.0,3
446,Ananth Nagar,1000,2.0,25.0,2
447,Ananth Nagar,902,2.0,25.0,2
448,Ananth Nagar,930,2.0,25.99,2
449,Ananth Nagar,1074,2.0,26.85,2
450,Ananth Nagar,500,1.0,14.0,1
451,Ananth Nagar,1010,2.0,38.0,2
452,Ananth Nagar,992,2.0,24.8,2
453,Anekal,1200,1.0,36.0,2
454,Anekal,656,2.0,22.0,2
455,Anekal,620,2.0,22.0,2
456,Anekal,600,1.0,16.5,1
457,Anekal,925,2.0,40.0,2
458,Anekal,530,1.0,18.0,1
459,Anekal,1800,3.0,68.0,3
460,Anekal,1200,1.0,36.0,2
461,Anekal,1035,2.0,38.3,2
462,Anekal,888,2.0,34.0,2
463,Anekal,1200,2.0,36.1,2
464,Anekal,700,1.0,19.4,2
465,Anekal,1200,1.0,36.0,2
466,Anekal,1200,2.0,36.0,4
467,Anekal,766,2.0,28.0,2
468,Anekal,620,1.0,23.5,2
469,Anekal,1150,3.0,45.0,3
470,Anekal,1200,1.0,36.0,2
471,Anekal,1200,1.0,36.0,2
472,Anekal,400,1.0,11.5,1
473,Anekal,456,1.0,15.0,1
474,Anekal,1200,1.0,36.0,2
475,Anekal,1200,1.0,36.0,2
476,Anekal,2400,4.0,95.0,3
477,Anekal,1200,2.0,36.1,2
478,Anekal,1200,2.0,36.1,2
479,Anekal,680,1.0,21.0,2
480,Anekal,420,1.0,12.5,1
481,Anekal,625,1.0,25.0,2
482,Anjanapura,1850,4.0,86.0,4
483,Anjanapura,1070,2.0,39.0,2
484,Anjanapura,1500,3.0,121.0,3
485,Anjanapura,1070,2.0,37.0,2
486,Anjanapura,950,2.0,40.0,2
487,Anjanapura,1280,2.0,45.0,3
488,Anjanapura,710,2.0,25.0,2
489,Anjanapura,1347,2.0,37.72,3
490,Anjanapura,950,2.0,32.0,2
491,Anjanapura,1800,4.0,55.0,4
492,Anjanapura,1843,3.0,87.54,3
493,Anjanapura,1076,2.0,30.13,2
494,Anjanapura,950,2.0,30.0,2
495,Ardendale,1750,3.0,100.0,3
496,Ardendale,3198,4.0,200.0,4
497,Ardendale,2422,4.0,160.0,4
498,Ardendale,1750,3.0,100.0,3
499,Ardendale,3200,4.0,205.0,4
500,Ardendale,1728,3.0,95.0,3
501,Ardendale,2062,3.0,140.0,4
502,Ardendale,2062,3.0,150.0,4
503,Ardendale,2800,4.0,140.0,4
504,Ardendale,1224,2.0,70.0,2
505,Ardendale,1650,3.0,82.0,3
506,Ardendale,2062,3.0,140.0,4
507,Ardendale,1650,3.0,82.0,3
508,Ardendale,1224,2.0,67.0,2
509,Ardendale,1723,3.0,95.0,3
510,Arekere,2060,3.0,140.0,3
511,Arekere,920,2.0,40.0,2
512,Arekere,1740,2.0,95.0,3
513,Arekere,1190,2.0,55.0,2
514,Arekere,600,1.0,28.0,1
515,Arekere,2072,3.0,108.0,3
516,Arekere,1100,2.0,55.0,2
517,Arekere,900,2.0,50.0,2
518,Arekere,2710,6.0,142.0,4
519,Arekere,1240,2.0,60.0,2
520,Arekere,900,2.0,44.5,2
521,Attibele,450,1.0,11.0,1
522,Attibele,1600,4.0,52.8,4
523,Attibele,656,2.0,25.0,2
524,Attibele,400,1.0,11.0,1
525,Attibele,400,1.0,12.0,1
526,Attibele,400,1.0,14.0,1
527,Attibele,500,1.0,17.0,1
528,Attibele,2168,4.0,95.0,4
529,Attibele,395,1.0,10.25,1
530,Attibele,420,1.0,17.0,1
531,Attibele,1639,2.0,40.98,3
532,Attibele,418,1.0,12.0,1
533,Attibele,1200,2.0,42.0,2
534,Attibele,400,1.0,10.0,1
535,Attibele,695,1.0,25.0,2
536,Attibele,850,1.0,25.0,2
537,Attibele,2400,3.0,120.0,3
538,Attibele,450,1.0,12.5,1
539,Attibele,995,1.0,24.88,2
540,Attibele,900,1.0,25.0,2
541,Attibele,1174,2.0,29.35,2
542,Attibele,782,1.0,19.55,1
543,Attibele,1175,2.0,29.38,2
544,Attibele,656,2.0,25.0,2
545,Attibele,400,1.0,11.5,1
546,Attibele,460,1.0,13.0,1
547,Attibele,418,2.0,11.5,1
548,Attibele,1000,2.0,42.0,2
549,Attibele,550,1.0,11.5,1
550,Attibele,996,2.0,24.9,2
551,Attibele,410,1.0,10.0,1
552,Attibele,1700,3.0,65.0,3
553,Attibele,400,1.0,10.25,1
554,Attibele,656,2.0,25.0,2
555,Attibele,1500,3.0,90.0,3
556,Attibele,520,1.0,15.0,1
557,BEML Layout,1060,2.0,55.0,2
558,BEML Layout,2000,3.0,85.0,3
559,BEML Layout,999,2.0,45.0,2
560,BEML Layout,2400,4.0,225.0,5
561,BEML Layout,2000,2.0,85.0,3
562,BEML Layout,1194,2.0,65.0,2
563,BEML Layout,1200,2.0,67.0,2
564,BEML Layout,2400,2.0,228.0,2
565,BEML Layout,2000,3.0,85.0,3
566,BEML Layout,2000,3.0,85.0,3
567,BEML Layout,1194,2.0,65.0,2
568,BTM 2nd Stage,1260,5.0,185.0,3
569,BTM 2nd Stage,950,2.0,52.0,2
570,BTM 2nd Stage,1850,3.0,170.0,3
